doi,material,bet_surface_area_m2_g,pressure_bar,adsorption_temperature_K,pore_volume_cm3_g,year,material_taxonomy,co2_capacity_mg_g
10.1039_c4ra09314c,GA-E,10.0,0.5,303.15,,2014.0,Graphene composite,40.94332
10.1039_c4ra09314c,GA-E,10.0,0.4,303.15,,2014.0,Graphene composite,36.07912
10.1039_c4ra09314c,GA-E,10.0,0.35,303.15,,2014.0,Graphene composite,33.56892
10.1039_c4ra09314c,GA-E,10.0,0.3,303.15,,2014.0,Graphene composite,30.67944
10.1039_c4ra09314c,GA-E,10.0,0.25,303.15,,2014.0,Graphene composite,27.27692
10.1039_c4ra09314c,GA-E,10.0,0.2,303.15,,2014.0,Graphene composite,24.5212
10.1039_c4ra09314c,GA-E,10.0,0.15,303.15,,2014.0,Graphene composite,20.09216
10.1039_c4ra09314c,GA-E,10.0,0.1,303.15,,2014.0,Graphene composite,15.37316
10.1039_c4ra09314c,GA-E,10.0,0.05,303.15,,2014.0,Graphene composite,9.92904
10.1039_c4ra09314c,GA-E,10.0,0.95,273.15,,2014.0,Graphene composite,87.68759999999999
10.1039_c4ra09314c,GA-E,10.0,0.9,273.15,,2014.0,Graphene composite,86.5722
10.1039_c4ra09314c,GA-E,10.0,0.85,273.15,,2014.0,Graphene composite,85.90252
10.1039_c4ra09314c,GA-E,10.0,0.8,273.15,,2014.0,Graphene composite,83.89436
10.1039_c4ra09314c,GA-E,10.0,0.75,273.15,,2014.0,Graphene composite,81.8862
10.1039_c4ra09314c,GA-E,10.0,0.7,273.15,,2014.0,Graphene composite,80.54772
10.1039_c4ra09314c,GA-E,10.0,0.65,273.15,,2014.0,Graphene composite,78.16028
10.1039_c4ra09314c,GA-E,10.0,0.45,303.15,,2014.0,Graphene composite,38.52244
10.1039_c4ra09314c,GA-E,10.0,0.55,303.15,,2014.0,Graphene composite,43.02936
10.1039_c4ra09314c,GA-E,10.0,0.5,323.15,,2014.0,Graphene composite,24.32056
10.1039_c4ra09314c,GA-E,10.0,0.6,303.15,,2014.0,Graphene composite,44.71412
10.1039_c4ra09314c,GA-E,10.0,0.4,323.15,,2014.0,Graphene composite,21.30832
10.1039_c4ra09314c,GA-E,10.0,0.35,323.15,,2014.0,Graphene composite,19.31116
10.1039_c4ra09314c,GA-E,10.0,0.3,323.15,,2014.0,Graphene composite,17.71616
10.1039_c4ra09314c,GA-E,10.0,0.25,323.15,,2014.0,Graphene composite,15.3956
10.1039_c4ra09314c,GA-E,10.0,0.2,323.15,,2014.0,Graphene composite,13.47676
10.1039_c4ra09314c,GA-E,10.0,0.15,323.15,,2014.0,Graphene composite,10.97756
10.1039_c4ra09314c,GA-E,10.0,0.1,323.15,,2014.0,Graphene composite,8.30016
10.1039_c4ra09314c,GA-E,10.0,0.05,323.15,,2014.0,Graphene composite,5.0314
10.1039_c4ra09314c,GA-E,10.0,0.95,303.15,,2014.0,Graphene composite,55.73612
10.1039_c4ra09314c,GA-E,10.0,0.9,303.15,,2014.0,Graphene composite,54.55384
10.1039_c4ra09314c,GA-E,10.0,0.85,303.15,,2014.0,Graphene composite,52.99184
10.1039_c4ra09314c,GA-E,10.0,0.8,303.15,,2014.0,Graphene composite,51.56404
10.1039_c4ra09314c,GA-E,10.0,0.75,303.15,,2014.0,Graphene composite,49.9796
10.1039_c4ra09314c,GA-E,10.0,0.7,303.15,,2014.0,Graphene composite,48.66312
10.1039_c4ra09314c,GA-E,10.0,0.65,303.15,,2014.0,Graphene composite,46.75572
10.1039_c4ra09314c,GA-E,10.0,0.6,273.15,,2014.0,Graphene composite,76.08524
10.1039_c4ra09314c,GA-E,10.0,0.55,273.15,,2014.0,Graphene composite,74.30015999999999
10.1039_c4ra09314c,GA-E,10.0,0.5,273.15,,2014.0,Graphene composite,72.51508
10.1039_c4ra09314c,GA-E,10.0,0.45,273.15,,2014.0,Graphene composite,68.72228
10.1039_c6ra13590k,IFGO,190.0,0.9,298.0,0.096,2016.0,GO non-composite,33.60896
10.1039_c6ra13590k,IFGO,190.0,0.75,298.0,0.096,2016.0,GO non-composite,26.302760000000003
10.1039_c6ra13590k,IFGO,190.0,0.6,298.0,0.096,2016.0,GO non-composite,23.38028
10.1039_c6ra13590k,IFGO,190.0,0.45,298.0,0.096,2016.0,GO non-composite,18.85004
10.1039_c6ra13590k,IFGO,190.0,0.3,298.0,0.096,2016.0,GO non-composite,9.49828
10.1039_c6ra13590k,IFGO,190.0,0.15,298.0,0.096,2016.0,GO non-composite,10.22868
10.1039_c4ra09314c,GA-E,10.0,0.1,273.15,,2014.0,Graphene composite,74.96983999999999
10.1039_c4ra09314c,GA-E,10.0,0.4,273.15,,2014.0,Graphene composite,66.26796
10.1039_c4ra09314c,GA-E,10.0,0.35,273.15,,2014.0,Graphene composite,63.59012
10.1039_c4ra09314c,GA-E,10.0,0.3,273.15,,2014.0,Graphene composite,58.90456
10.1039_c4ra09314c,GA-E,10.0,0.25,273.15,,2014.0,Graphene composite,58.7092
10.1039_c4ra09314c,GA-E,10.0,0.2,273.15,,2014.0,Graphene composite,58.51384
10.1039_c4ra09314c,GA-E,10.0,0.15,273.15,,2014.0,Graphene composite,62.58604
10.1039_c4ra09314c,GA-E,10.0,0.05,273.15,,2014.0,Graphene composite,104.86828
10.1039_c4ra09314c,GA-E,10.0,0.45,323.15,,2014.0,Graphene composite,22.82544
10.1039_c4ra09314c,GA-E,10.0,0.55,323.15,,2014.0,Graphene composite,25.2912
10.1039_c4ra09314c,GA-W,10.0,0.45,323.15,,2014.0,Graphene non-composite,32.7888
10.1039_c4ra09314c,GA-W,10.0,0.35,323.15,,2014.0,Graphene non-composite,29.55568
10.1039_c4ra09314c,GA-W,10.0,0.3,323.15,,2014.0,Graphene non-composite,27.65928
10.1039_c4ra09314c,GA-W,10.0,0.25,323.15,,2014.0,Graphene non-composite,24.94448
10.1039_c4ra09314c,GA-W,10.0,0.2,323.15,,2014.0,Graphene non-composite,22.53328
10.1039_c4ra09314c,GA-W,10.0,0.15,323.15,,2014.0,Graphene non-composite,19.33316
10.1039_c4ra09314c,GA-W,10.0,0.1,323.15,,2014.0,Graphene non-composite,15.33312
10.1039_c4ra09314c,GA-W,10.0,0.05,323.15,,2014.0,Graphene non-composite,9.97788
10.1039_c4ra09314c,GA-W,10.0,0.95,303.15,,2014.0,Graphene non-composite,64.77768
10.1039_c4ra09314c,GA-W,10.0,0.9,303.15,,2014.0,Graphene non-composite,63.33316
10.1039_c4ra09314c,GA-W,10.0,0.85,303.15,,2014.0,Graphene non-composite,61.666880000000006
10.1039_c4ra09314c,GA-W,10.0,0.8,303.15,,2014.0,Graphene non-composite,60.11104
10.1039_c4ra09314c,GA-W,10.0,0.75,303.15,,2014.0,Graphene non-composite,58.44432
10.1039_c4ra09314c,GA-W,10.0,0.7,303.15,,2014.0,Graphene non-composite,56.9778
10.1039_c4ra09314c,GA-W,10.0,0.65,303.15,,2014.0,Graphene non-composite,55.0
10.1039_c4ra09314c,GA-W,10.0,0.6,303.15,,2014.0,Graphene non-composite,52.8
10.1039_c4ra09314c,GA-W,10.0,0.4,323.15,,2014.0,Graphene non-composite,31.55548
